	p-value	average	sd	rsd	average_permuted	original_imp_higher_than_random_imp
S3:C20_3 	0.02631578947368421	0.040197113057730695	0.013003951556202648	0.32350461431213984	0.014582467841473523	True
S4:C21 	0.039473684210526314	0.02952462685997123	0.007792453436359116	0.2639306323265997	0.016770440633391854	True
S4:C21_4 	0.039473684210526314	0.030625903282505064	0.007129525490198255	0.23279396608918862	0.015406592889607879	True
