	p-value	average	sd	rsd	average_permuted	original_imp_higher_than_random_imp
S3:C15 	0.0	0.04147088384467633	0.012259808741755304	0.2956244865113747	0.012695415007769623	True
S3:C21 	0.0	0.06380356293439034	0.01201299326593198	0.18828091588372622	0.020763232653301187	True
