sample,isolation,Accession,5.541_67.0557 ,7.060_95.0168 ,9.272_93.0728 ,9.472_91.0566 ,9.653_91.0565 ,10.148_93.0730 ,10.581_105.0363 ,10.873_119.0877 ,11.056_91.0567 ,11.572_91.0564 ,11.844_91.0573 ,11.96_91.0560 ,12.373_91.0575 ,12.618_119.0885 ,12.761_91.0557 ,13.396_91.0579 ,13.604_105.0725_blank ,14.572_91.0565 ,14.537_91.0571 ,14.844_105.0368 ,15.428_68.0279 ,15.562_91.0570 ,18.152_67.0559 ,18.702_97.0318 ,20.136_79.0560 ,20.614_58.0433 ,21.112_119.0858 ,21.260_109.1042 ,21.506_109.1042 ,21.673_129.0932 ,21.813_91.0566 ,22.444_161.1317 ,22.570_91.0567 ,22.891_161.1339 ,23.181_147.1173 ,23.223_93.0721 ,23.403_91.0566 ,23.681_91.0574 ,23.736_145.1019 ,23.997_91.0562 ,24.220_91.0566 ,24.291_119.0873 ,24.374_105.0720 ,24.442_95.0877 ,24.471_105.0723 ,24.500_81.0718 ,24.550_94.0801 ,24.602_117.0716 ,24.619_105.0723 ,24.707_93.0725 ,24.733_105.0717 ,24.814_105.0723 ,24.806_119.8074 ,24.843_161.1344 ,24.859_91.0567 ,25.020_145.1032 ,25.036_159.1160 ,25.153_119.0864 ,25.211_105.0732 ,25.356_105.0726 ,25.421_161.1340 ,25.421_58.0434 ,25.421_119.0869 ,25.508_105.0726 ,25.516_145.0981 ,25.533_105.0721 ,25.585_105.0719 ,25.641_119.0875 ,25.706_91.0568 ,25.779_97.0322 ,25.842_161.1316 ,25.911_105.0725 ,25.968_119.0881 ,26.045_91.0563 ,26.164_119.0865 ,26.200_105.0726 ,26.227_95.0152 ,26.529_131.0872 ,26.595_91.0568 ,26.689_109.1032 ,26.803_111.0836 ,26.833_81.0727 ,27.083_97.0317 ,27.996_91.0565 ,28.382_97.0323 ,30.160_91.0569 ,32.503_159.8606 
12_1_rep_LA1840_Stem,stem,LA1840,0,0,0,0,0,0,0,0,0,0,358972.0587,6373418.321,2297216.342,0,2630584.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_2_LA1840_Stem,stem,LA1840,0,0,0,0,0,613733.4983,0,0,0,599215.852,2042269.897,15356040.4,8477942.512,0,15282000.4,599215.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_3_2_LA1840_Stem,stem,LA1840,0,0,0,0,0,0,0,0,0,0,445864.0769,3343692.922,976586.1555,0,2571916.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_3_rep_LA1840_Stem,stem,LA1840,0,0,99880.55836,0,0,161899.352,0,0,0,197481.6272,697245.8015,5270819.101,5400777.801,191115.7358,5941267.001,207044.3637,0,89511.66098,194812.9566,0,0,0,84007.52779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103271.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13_1_rep_LA1954_Stem,stem,LA1954,0,0,0,0,0,0,0,0,0,0,0,0,57552.51467,0,125978.5006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13_2_rep_LA1954_Stem,stem,LA1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13_3_rep_LA1954_Stem,stem,LA1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15_1_LA2133_Stem,stem,LA2133,0,0,0,0,0,0,0,0,0,0,7913734.79,6414726.407,2157701.625,0,25494441.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15_2_LA2133_Stem,stem,LA2133,0,0,0,0,362311.7092,0,0,0,0,0,9693042.817,4228679.691,1788243.764,0,16919848.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15_3_LA2133_Stem,stem,LA2133,0,0,0,0,447150.391,0,0,0,0,0,5733928.005,3708914.926,5333881.324,0,20717149.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
