genotype	accession	plant	leaf.side	leaf.disc	name	date	glandular	non.glandular	typeVI	typeIandIV	typeVII	all
S. pim LA1578	LA1578	3	abaxial	1	Michelle	01-feb	33	600	33	0	0	633
S. pim LA1578	LA1578	3	abaxial	2	Michelle	01-feb	27	650	27	0	0	677
S. pim LA1578	LA1578	5	adaxial	1	Sanne	01-feb	17	190	17	0	0	207
S. pim LA1578	LA1578	5	adaxial	2	Sanne	01-feb	18	129	18	0	0	147
S. pim LA1578	LA1578	5	abaxial	1	Sanne	01-feb	10	582	10	0	0	592
S. pim LA1578	LA1578	5	abaxial	2	Sanne	01-feb	6	603	6	0	0	609
S. pim LA1578	LA1578	2	adaxial	1	Sanne	07-feb	119	240	119	0	0	359
S. pim LA1578	LA1578	2	adaxial	2	Sanne	07-feb	81	224	81	0	0	305
S. pim LA1578	LA1578	2	abaxial	1	Sanne	07-feb	36	489	36	0	0	525
S. pim LA1578	LA1578	2	abaxial	2	Sanne	07-feb	31	452	31	0	0	483
S. hab LA1718	LA1718	2	adaxial	1	Ruy	30-jan	66	6	54	12	0	72
S. hab LA1718	LA1718	2	adaxial	2	Ruy	30-jan	56	2	47	9	0	58
S. hab LA1718	LA1718	2	abaxial	1	Ruy	30-jan	26	1	0	26	0	27
S. hab LA1718	LA1718	2	abaxial	2	Ruy	30-jan	23	3	0	23	0	26
S. hab LA1718	LA1718	5	adaxial	1	Marc	30-jan	104	31	54	50	0	135
S. hab LA1718	LA1718	5	adaxial	2	Marc	30-jan	52	48	22	30	0	100
S. hab LA1718	LA1718	5	abaxial	1	Marc	30-jan	71	34	6	65	0	105
S. hab LA1718	LA1718	5	abaxial	2	Marc	30-jan	49	50	23	26	0	99
S. hab LA1718	LA1718	3	adaxial	1	Michelle	31-jan	158	21	137	21	0	179
S. hab LA1718	LA1718	3	adaxial	2	Michelle	31-jan	125	15	88	37	0	140
S. hab LA1718	LA1718	3	abaxial	1	Michelle	31-jan	83	85	68	15	0	168
S. hab LA1718	LA1718	3	abaxial	2	Michelle	31-jan	89	34	49	40	0	123
S. hab LA1718	LA1718	4	adaxial	1	Sanne	31-jan	57	37	43	14	0	94
S. hab LA1718	LA1718	4	adaxial	2	Sanne	31-jan	30	28	16	14	0	58
S. hab LA1718	LA1718	4	abaxial	1	Sanne	31-jan	68	59	23	45	0	127
S. hab LA1718	LA1718	4	abaxial	2	Sanne	31-jan	52	62	9	43	0	114
S. hab LA1718	LA1718	1	adaxial	1	Ruy	02-feb	19	25	14	1	4	44
S. hab LA1718	LA1718	1	adaxial	2	Ruy	02-feb	11	32	5	0	6	43
S. hab LA1718	LA1718	1	abaxial	1	Ruy	02-feb	64	82	26	38	0	146
S. hab LA1718	LA1718	1	abaxial	2	Ruy	02-feb	56	38	10	46	0	94
S. hab LA1777	LA1777	1	adaxial	1	Michelle	24-Mar	45	3	7	38	0	48
S. hab LA1777	LA1777	1	adaxial	2	Lisa	24-Mar	47	6	7	40	0	53
S. hab LA1777	LA1777	1	abaxial	1	Michelle	24-Mar	181	4	13	168	0	185
S. hab LA1777	LA1777	1	abaxial	2	Lisa	24-Mar	171	10	9	162	0	181
S. hab LA1777	LA1777	2	adaxial	1	Sanne	27-Mar	81	21	43	38	0	102
S. hab LA1777	LA1777	2	adaxial	2	Sanne	27-Mar	124	19	41	83	0	143
S. hab LA1777	LA1777	2	abaxial	1	Sanne	27-Mar	78	31	16	62	0	109
S. hab LA1777	LA1777	2	abaxial	2	Sanne	27-Mar	60	24	11	49	0	84
S. hab LA1777	LA1777	3	adaxial	1	Sanne	27-Mar	143	10	59	84	0	153
S. hab LA1777	LA1777	3	adaxial	2	Sanne	27-Mar	135	6	42	93	0	141
S. hab LA1777	LA1777	3	abaxial	1	Sanne	27-Mar	155	3	35	120	0	158
S. hab LA1777	LA1777	3	abaxial	2	Sanne	27-Mar	143	4	31	112	0	147
S. hab LA1777	LA1777	4	adaxial	1	Sanne	27-Mar	129	5	39	90	0	134
S. hab LA1777	LA1777	4	adaxial	2	Sanne	27-Mar	115	4	42	73	0	119
S. hab LA1777	LA1777	4	abaxial	1	Sanne	27-Mar	156	10	54	102	0	166
S. hab LA1777	LA1777	4	abaxial	2	Sanne	27-Mar	151	3	21	130	0	154
S. chm LA1840	LA1840	1	adaxial	1	Sanne	30-jan	15	48	15	0	0	63
S. chm LA1840	LA1840	1	adaxial	2	Sanne	30-jan	3	61	3	0	0	64
S. chm LA1840	LA1840	1	abaxial	1	Sanne	30-jan	2	58	2	0	0	60
S. chm LA1840	LA1840	1	abaxial	2	Sanne	30-jan	0	46	0	0	0	46
S. chm LA1840	LA1840	4	adaxial	1	Aleksandra	30-jan	17	49	17	0	0	66
S. chm LA1840	LA1840	4	adaxial	2	Aleksandra	30-jan	9	36	7	2	0	45
S. chm LA1840	LA1840	4	abaxial	1	Aleksandra	30-jan	0	91	0	0	0	91
S. chm LA1840	LA1840	4	abaxial	2	Aleksandra	30-jan	4	90	4	0	0	94
S. chm LA1840	LA1840	2	adaxial	1	Sanne	01-feb	13	166	13	0	0	179
S. chm LA1840	LA1840	2	adaxial	2	Sanne	01-feb	11	88	11	0	0	99
S. chm LA1840	LA1840	2	abaxial	1	Sanne	01-feb	17	98	17	0	0	115
S. chm LA1840	LA1840	2	abaxial	2	Sanne	01-feb	18	91	18	0	0	109
S. chm LA1840	LA1840	3	adaxial	1	Marc	01-feb	12	127	6	6	0	139
S. chm LA1840	LA1840	3	adaxial	2	Marc	01-feb	12	77	12	0	0	89
S. chm LA1840	LA1840	3	abaxial	1	Marc	01-feb	12	121	12	0	0	133
S. chm LA1840	LA1840	3	abaxial	2	Marc	01-feb	17	112	16	1	0	129
S. chm LA1840	LA1840	5	adaxial	1	Ruy	01-feb	17	117	14	0	3	134
S. chm LA1840	LA1840	5	adaxial	2	Ruy	01-feb	7	84	5	0	2	91
S. chm LA1840	LA1840	5	abaxial	1	Ruy	01-feb	3	158	2	0	1	161
S. chm LA1840	LA1840	5	abaxial	2	Ruy	01-feb	6	172	6	0	0	178
S. per LA1954	LA1954	1	adaxial	1	Michelle	30-jan	19	156	19	0	0	175
S. per LA1954	LA1954	1	adaxial	2	Michelle	30-jan	11	137	1	10	0	148
S. per LA1954	LA1954	1	abaxial	1	Michelle	30-jan	0	500	0	0	0	500
S. per LA1954	LA1954	1	abaxial	2	Michelle	30-jan	0	500	0	0	0	500
S. per LA1954	LA1954	3	adaxial	1	Marc	30-jan	9	54	9	0	0	63
S. per LA1954	LA1954	3	adaxial	2	Marc	30-jan	5	45	5	0	0	50
S. per LA1954	LA1954	3	abaxial	1	Marc	30-jan	0	130	0	0	0	130
S. per LA1954	LA1954	3	abaxial	2	Marc	30-jan	0	66	0	0	0	66
S. per LA1954	LA1954	2	adaxial	1	Ruy	31-jan	3	84	3	0	0	87
S. per LA1954	LA1954	2	adaxial	2	Ruy	31-jan	5	128	5	0	0	133
S. per LA1954	LA1954	2	abaxial	1	Ruy	31-jan	1	350	1	0	0	351
S. per LA1954	LA1954	2	abaxial	2	Ruy	31-jan	3	266	3	0	0	269
S. per LA1954	LA1954	4	adaxial	1	Sanne	01-feb	2	84	2	0	0	86
S. per LA1954	LA1954	4	adaxial	2	Sanne	01-feb	6	71	6	0	0	77
S. per LA1954	LA1954	4	abaxial	1	Sanne	01-feb	2	179	2	0	0	181
S. per LA1954	LA1954	4	abaxial	2	Sanne	01-feb	1	221	1	0	0	222
S. neo LA2133	LA2133	1	adaxial	1	Sanne	30-jan	3	49	3	0	0	52
