genotype	accession	plant	leaf.side	leaf.disc	name	date	glandular	non.glandular	typeVI	typeIandIV	typeVII	all
S. hab PI134418 	PI134418	2	abaxial	1	Aleksandra	31-jan	170	76	40	130	0	246
S. hab PI134418 	PI134418	2	abaxial	2	Aleksandra	31-jan	149	107	36	113	0	256
S. hab PI134418 	PI134418	3	adaxial	1	Ruy	01-feb	17	12	16	0	1	29
S. hab PI134418 	PI134418	3	adaxial	2	Ruy	01-feb	26	7	20	0	6	33
S. hab PI134418 	PI134418	3	abaxial	1	Ruy	01-feb	34	9	1	33	0	43
S. hab PI134418 	PI134418	3	abaxial	2	Ruy	01-feb	25	13	5	20	0	38
S. hab PI134418 	PI134418	4	adaxial	1	Marc	02-feb	83	3	47	36	0	86
S. hab PI134418 	PI134418	4	adaxial	2	Marc	02-feb	55	7	34	21	0	62
S. hab PI134418 	PI134418	4	abaxial	1	Marc	02-feb	185	2	44	141	0	187
S. hab PI134418 	PI134418	4	abaxial	2	Marc	02-feb	171	1	48	123	0	172
S. hab PI134418 	PI134418	5	adaxial	1	Aleksandra	02-feb	78	8	77	0	1	86
S. hab PI134418 	PI134418	5	adaxial	2	Aleksandra	02-feb	82	9	78	3	1	91
S. hab PI134418 	PI134418	5	abaxial	1	Aleksandra	02-feb	133	77	35	98	0	210
S. hab PI134418 	PI134418	5	abaxial	2	Aleksandra	02-feb	153	108	58	95	0	261
S. hab LYC4 	LYC4	1	adaxial	1	Sanne	30-jan	53	23	38	15	0	76
S. hab LYC4 	LYC4	1	adaxial	2	Sanne	30-jan	43	20	33	10	0	63
S. hab LYC4 	LYC4	1	abaxial	1	Sanne	30-jan	120	20	25	95	0	140
S. hab LYC4 	LYC4	1	abaxial	2	Sanne	30-jan	135	19	32	103	0	154
S. hab LYC4 	LYC4	4	adaxial	1	Aleksandra	30-jan	61	4	55	6	0	65
S. hab LYC4 	LYC4	4	adaxial	2	Aleksandra	30-jan	41	7	40	1	0	48
S. hab LYC4 	LYC4	4	abaxial	1	Aleksandra	30-jan	284	0	64	220	0	284
S. hab LYC4 	LYC4	4	abaxial	2	Aleksandra	30-jan	310	0	37	273	0	310
S. hab LYC4 	LYC4	5	adaxial	1	Marc	31-jan	82	14	82	0	0	96
S. hab LYC4 	LYC4	5	adaxial	2	Marc	31-jan	98	13	70	28	0	111
S. hab LYC4 	LYC4	5	abaxial	1	Marc	31-jan	460	0	34	426	0	460
S. hab LYC4 	LYC4	5	abaxial	2	Marc	31-jan	250	6	71	179	0	256
S. hab LYC4 	LYC4	3	adaxial	1	Sanne	01-feb	94	25	73	21	0	119
S. hab LYC4 	LYC4	3	adaxial	2	Sanne	01-feb	89	14	77	12	0	103
S. hab LYC4 	LYC4	3	abaxial	1	Sanne	01-feb	278	47	104	174	0	325
S. hab LYC4 	LYC4	3	abaxial	2	Sanne	01-feb	242	45	80	162	0	287
S. hab LYC4 	LYC4	2	adaxial	1	Michelle	02-feb	88	66	76	12	0	154
S. hab LYC4 	LYC4	2	adaxial	2	Michelle	02-feb	49	22	28	21	0	71
S. hab LYC4 	LYC4	2	abaxial	1	Michelle	02-feb	39	400	19	20	0	439
S. hab LYC4 	LYC4	2	abaxial	2	Michelle	02-feb	59	350	20	39	0	409
S. lyc MM	MM	2	adaxial	1	Marc	30-jan	38	135	38	0	0	173
S. lyc MM	MM	2	adaxial	2	Marc	30-jan	46	96	46	0	0	142
S. lyc MM	MM	2	abaxial	1	Marc	30-jan	5	78	5	0	0	83
S. lyc MM	MM	3	adaxial	1	Ruy	31-jan	37	73	37	0	0	110
S. lyc MM	MM	3	adaxial	2	Ruy	31-jan	40	90	40	0	0	130
S. lyc MM	MM	3	abaxial	1	Ruy	31-jan	12	204	12	0	0	216
S. lyc MM	MM	3	abaxial	2	Ruy	31-jan	27	408	27	0	0	435
S. lyc MM	MM	1	adaxial	1	Aleksandra	01-feb	24	186	24	0	0	210
S. lyc MM	MM	1	adaxial	2	Aleksandra	01-feb	41	214	41	0	0	255
S. lyc MM	MM	1	abaxial	1	Aleksandra	01-feb	32	285	32	0	0	317
S. lyc MM	MM	1	abaxial	2	Aleksandra	01-feb	30	426	30	0	0	456
S. lyc MM	MM	4	adaxial	1	Ruy	02-feb	12	96	11	0	1	108
S. lyc MM	MM	4	adaxial	2	Ruy	02-feb	62	158	57	0	5	220
S. lyc MM	MM	4	abaxial	1	Ruy	02-feb	6	380	6	0	0	386
S. lyc MM	MM	4	abaxial	2	Ruy	02-feb	3	257	3	0	0	260
S. lyc MM	MM	5	adaxial	1	Sanne	02-feb	48	244	48	0	0	292
S. lyc MM	MM	5	adaxial	2	Sanne	02-feb	32	201	32	0	0	233
S. lyc MM	MM	5	abaxial	1	Sanne	02-feb	62	522	62	0	0	584
S. lyc MM	MM	5	abaxial	2	Sanne	02-feb	44	498	44	0	0	542
S. hab PI127826 	PI127826	1	adaxial	1	Ruy	30-jan	160	2	71	89	0	162
S. hab PI127826 	PI127826	1	adaxial	2	Ruy	30-jan	130	4	33	97	0	134
S. hab PI127826 	PI127826	1	abaxial	1	Ruy	30-jan	114	1	15	99	0	115
S. hab PI127826 	PI127826	1	abaxial	2	Ruy	30-jan	114	2	24	90	0	116
S. hab PI127826 	PI127826	2	adaxial	1	Sanne	01-feb	199	0	129	70	0	199
S. hab PI127826 	PI127826	2	adaxial	2	Sanne	01-feb	172	0	69	103	0	172
S. hab PI127826 	PI127826	2	abaxial	1	Sanne	01-feb	216	0	75	141	0	216
S. hab PI127826 	PI127826	2	abaxial	2	Sanne	01-feb	154	0	34	120	0	154
S. hab PI127826 	PI127826	3	adaxial	1	Michelle	01-feb	85	76	70	15	0	161
S. hab PI127826 	PI127826	3	adaxial	2	Michelle	01-feb	95	100	80	15	0	195
S. hab PI127826 	PI127826	3	abaxial	1	Michelle	01-feb	167	70	77	90	0	237
S. hab PI127826 	PI127826	3	abaxial	2	Michelle	01-feb	138	70	43	95	0	208
S. hab PI127826 	PI127826	4	adaxial	1	Marc	02-feb	99	18	17	82	0	117
S. hab PI127826 	PI127826	4	adaxial	2	Marc	02-feb	72	3	23	49	0	75
S. hab PI127826 	PI127826	4	abaxial	1	Marc	02-feb	271	0	43	228	0	271
S. hab PI127826 	PI127826	4	abaxial	2	Marc	02-feb	125	0	27	98	0	125
S. hab PI127826 	PI127826	5	adaxial	1	Sanne	02-feb	154	42	91	63	0	196
S. hab PI127826 	PI127826	5	adaxial	2	Sanne	02-feb	143	34	90	53	0	177
S. hab PI127826 	PI127826	5	abaxial	1	Sanne	02-feb	137	30	87	50	0	167
S. hab PI127826 	PI127826	5	abaxial	2	Sanne	02-feb	68	23	29	39	0	91
S. per LA1278 	LA1278	1	adaxial	1	Sanne	18-apr	6	168	6	0	0	174
S. per LA1278 	LA1278	1	abaxial	2	Sanne	18-apr	8	122	8	0	0	130
S. per LA1278 	LA1278	1	adaxial	1	Sanne	18-apr	1	234	1	0	0	235
S. per LA1278 	LA1278	1	abaxial	2	Sanne	18-apr	0	197	0	0	0	197
S. per LA1278 	LA1278	2	adaxial	1	Sanne	18-apr	12	162	12	0	0	174
S. per LA1278 	LA1278	2	abaxial	2	Sanne	18-apr	10	120	10	0	0	130
S. per LA1278 	LA1278	2	adaxial	1	Sanne	18-apr	6	250	6	0	0	256
S. per LA1278 	LA1278	2	abaxial	2	Sanne	18-apr	3	216	3	0	0	219
S. per LA1278 	LA1278	3	adaxial	1	Sanne	18-apr	13	195	13	0	0	208
S. per LA1278 	LA1278	3	abaxial	2	Sanne	18-apr	6	94	6	0	0	100
S. per LA1278 	LA1278	3	adaxial	1	Sanne	18-apr	9	154	9	0	0	163
S. per LA1278 	LA1278	3	abaxial	2	Sanne	18-apr	4	111	4	0	0	115
S. per LA1278 	LA1278	4	adaxial	1	Sanne	18-apr	13	298	13	0	0	311
S. per LA1278 	LA1278	4	abaxial	2	Sanne	18-apr	5	315	5	0	0	320
S. per LA1278 	LA1278	4	adaxial	1	Sanne	18-apr	3	384	3	0	0	387
S. per LA1278 	LA1278	4	abaxial	2	Sanne	18-apr	0	357	0	0	0	357
