accession	Thrips phenotype	Whitefly phenotype
LA0407	Toxic	Non-toxic
LA0716	Toxic	Toxic
LA0735	Toxic	Non-toxic
LA1278	Toxic	Non-toxic
LA1364	Non-toxic	Non-toxic
LA1401	Toxic	Non-toxic
LA1578	Toxic	Non-toxic
LA1718	Toxic	Toxic
LA1777	Toxic	Toxic
LA1840	Non-toxic	Non-toxic
LA1954	Non-toxic	Toxic
LA2133	Toxic	Non-toxic
LA2172	Toxic	Non-toxic
LA2695	Toxic	Toxic
LA4024	Non-toxic	Non-toxic
LYC4	Toxic	Toxic
MM	Non-toxic	Non-toxic
PI127826	Toxic	Toxic
PI134418	Toxic	Toxic
