	p-value	average	sd	rsd	average_permuted	original_imp_higher_than_random_imp
23.181_147.1173 	0.011627906976744186	0.02983862554141295	0.007314507708171283	0.2451355441295209	0.013355738166589496	True
24.707_93.0725 	0.0	0.09069911341654838	0.02286993597869869	0.25215170377317037	0.04221215523753154	True
26.164_119.0865 	0.046511627906976744	0.01830889200508746	0.008323041873526726	0.4545901451171386	0.008920786147646133	True
