	p-value	average	sd	rsd
55.0544.5.65	0.023255813953488372	0.0043430645409715096	0.0015144109169389001	0.34869638768944894
60.0206.7.33	0.0	0.0	0.0	
93.07.10.21	0.046511627906976744	0.01466870857862195	0.006261939581389486	0.42689099369767175
119.086.13.78	0.0	0.024121274307633046	0.0051933689745098256	0.21530243005720523
91.0546.24.04	0.023255813953488372	0.07563248996816034	0.023416155494386644	0.30960445047154134
161.1325.26.28	0.023255813953488372	0.040723861659371335	0.019546484086569827	0.47997619307479916
161.1325.26.39	0.0	0.04378364586458228	0.02128926725883931	0.48623788262595896
