lines	Estimate	Std. Error	z value	Pr(>|z|)
292	3.46573590247358	1.01549223173995	3.41286303740146	0.000642842411556315
400	1.79175946922806	0.763762615821492	2.34596382712561	0.0189779491952323
432	2.30258509299395	0.605529952162933	3.80259487539666	0.000143188403254596
PI127826	3.68887945411301	1.01242216554958	3.64361783022655	0.00026883249675
303	2.22462355152433	0.526333570112163	4.22664195835022	2.37204647003896e-05
258	1.58045037556085	0.415052897307072	3.80782879920862	0.000140192271635231
295	2.07944154167984	0.612372435653523	3.39571381827573	0.000684498872081957
290	1.25276296849537	0.462910049245425	2.70627732220862	0.00680421979941375
376	0.83975065475182	0.274515667448321	3.05902633010886	0.00222057632475869
286	-0.100083458556983	0.316623793430652	-0.316095822972013	0.75192977711524
346	-0.0645385211375707	0.35939764421413	-0.179574135157988	0.85748691171868
F1	-0.762140052046896	0.457737708215087	-1.66501478547355	0.0959098060481061
445	-0.45953232937844	0.3687342027541	-1.24624275683179	0.212675286244395
200	-0.287682072451781	0.341565025531987	-0.842246866475034	0.399649785455468
366	-1.01160091167848	0.583874208121129	-1.73256653164	0.0831727422184818
211	-0.82098055206983	0.361813613493316	-2.26907037616205	0.0232640465115752
151	-0.65058756614115	0.35610615580596	-1.82694838472731	0.0677075303771574
Elite	-0.693147180559945	0.273861278752582	-2.53101564309193	0.0113732776150376
256	-0.82098055206983	0.361813613493316	-2.26907037616205	0.0232640465115753
102	-0.980829253011727	0.390867979985241	-2.50936199237595	0.0120949466945435
201	-1.54044504094715	0.449867705421219	-3.42421788090969	0.000616571657877676
