line	coef	stderr	zvalue	pvalue
294	NA	NA	NA	NA
324	NA	NA	NA	NA
373	NA	NA	NA	NA
396	NA	NA	NA	NA
292	3.46573590247358	1.01549223173995	3.41286303740146	0.000642842411556315
400	1.79175946922806	0.763762615821492	2.34596382712561	0.0189779491952323
432	2.30258509299395	0.605529952162933	3.80259487539666	0.000143188403254596
PI127826	3.68887945411301	1.01242216554958	3.64361783022655	0.00026883249675
303	2.22462355152433	0.526333570112163	4.22664195835022	2.37204647003896e-05
258	1.58045037556085	0.415052897307072	3.80782879920862	0.000140192271635231
295	2.07944154167984	0.612372435653523	3.39571381827573	0.000684498872081957
290	1.25276296849537	0.462910049245425	2.70627732220862	0.00680421979941375
376	0.83975065475182	0.274515667448321	3.05902633010886	0.00222057632475869
