coef	exp(coef)	se(coef)	z	pval	accession	text
-0.861353445544482	0.422589742885338	0.364218976868795	-2.3649329119245	0.0180333373091824	LA0716	ns
-1.30841348521316	0.270248469646053	0.301294807397011	-4.3426353627432	1.40783689573041e-05	LA0735	***
-0.985795832232841	0.373142150190162	0.286235717082662	-3.44400007895644	0.000573175534816943	LA1278	***
-3.15323116413654	0.0427138880679306	0.346155403709131	-9.1092934859574	8.29201835849664e-20	LA1364	***
-0.678304963993517	0.507476454613093	0.257010568199431	-2.63921039802215	0.00830993894151088	LA1401	ns
-1.53758708470989	0.214899009447335	0.314242818207038	-4.8929903743953	9.9315265640022e-07	LA1578	***
-1.58845671691858	0.204240569652774	0.321132704179123	-4.94641840038988	7.55913932199598e-07	LA1718	***
-0.306897031322961	0.735726353776411	0.262667671111501	-1.16838524521994	0.242651403847356	LA1777	ns
-2.77624871977907	0.0622716682554923	0.402692243156808	-6.8942195111963	5.41613364173288e-12	LA1840	***
-1.94685925981235	0.142721619929445	0.347032547824048	-5.61001921006972	2.02304157377573e-08	LA1954	***
-1.53760317137502	0.214895552466737	0.340859319376413	-4.51096122056455	6.45345192557814e-06	LA2133	***
-0.695049727354704	0.499049630950085	0.382311673766646	-1.81801858286688	0.069061292592522	LA2172	ns
-1.14736428104529	0.317472435720891	0.2854583687143	-4.01937517618768	5.83526871059663e-05	LA2695	***
-2.6952357766423	0.0675264587354512	0.334394154189709	-8.06005650180484	7.62591925519013e-16	LA4024	***
0.488929819280222	1.63057028100993	0.250128672069147	1.95471320914805	0.0506169301119739	LYC4	ns
-2.57818556908311	0.0759116155239689	0.420746982525533	-6.12763888075336	8.91927364200389e-10	MM	***
-1.45371971974741	0.233699373144974	0.322008795888861	-4.51453419380864	6.34560836517724e-06	PI127826	***
-0.00765498186013347	0.992374242894305	0.252395536394807	-0.0303293075997954	0.975804423234835	PI134418	ns
