coeff	stderr	zval	pval	accession	genotype	species	color	text
-1.11803037452521	0.279381993565065	-4.00179825570911	6.28628889259115e-05	Intercept	NA	NA	NA	***
-0.427894132186167	0.413969504817031	-1.03363684331118	0.301305968582219	LA1278	S. per LA1278	peruvianum	#e76bf3	ns
-0.154935301287677	0.411682972310281	-0.376346149121037	0.706659574790671	LA1364	S. hua LA1364	huaylasense 	#00BF7D	ns
0.143470734527079	0.383304347483704	0.374299784150449	0.708181292649421	LA1401	S. che LA1401	cheesmaniae	#D89000	ns
0.0533196375327818	0.381176700007131	0.139881680941632	0.888753475462206	LA1578	S. pim LA1578	pimpinellifolium 	#FF62BC	ns
0.799576643406675	0.363361488120127	2.20049914354803	0.0277715006373173	LA1718	S. hab LA1718	habrochaites	#39B600	***
2.4449013145636	0.418787471795151	5.83804788639788	5.28159790506191e-09	LA1777	S. hab LA1777	habrochaites	#39B600	***
-0.268263986562241	0.374905199188888	-0.715551523805573	0.474268315473483	LA1840	S. chm LA1840	chmielewskii	#A3A500	ns
0.642606677810136	0.385434282627722	1.66722760992905	0.0954691546423774	LA1954	S. per LA1954	peruvianum	#e76bf3	ns
-0.303355306399956	0.408318514227834	-0.742937916919166	0.457519268275684	LA2133	S. neo LA2133	neorickii	#00B0F6	ns
-0.167167869723163	0.419826071945757	-0.398183631017469	0.690494831079315	LA2172	S. arc LA2172	arcanum	#F8766D	ns
0.582512138168848	0.37961982152714	1.53446186193732	0.124916068811096	LA2695	S. chm LA2695	chmielewskii	#A3A500	ns
0.0354184272035453	0.376566560248923	0.0940562199153651	0.925064497594046	LA4024	S. lyc LA4024	lycopersicum	#00BFC4	ns
-0.454366266226789	0.433394909171977	-1.04838856343486	0.294459620547158	LYC140	NA	NA	NA	ns
1.85039826823844	0.370519996161328	4.99405777666249	5.91236975645374e-07	LYC4	S. hab LYC4	habrochaites	#39B600	***
-0.353421794934205	0.324620600584138	-1.08872263281579	0.276276218015795	Moneymaker	NA	NA	NA	ns
2.90048745053114	0.378092337730956	7.67137326277971	1.70164562425515e-14	PI127826	S. hab PI127826	habrochaites	#39B600	***
0.847740044785299	0.372629636779066	2.2750204522458	0.0229047029630059	PI134418	S. hab PI134418	habrochaites	#39B600	***
