genotype	plant	side	leaf.disk	name	date	glandular	non.glandular	typeVI	typeIandIV	typeVII	all	area.mm2
S.pim LA1578	4	abaxial	1	Michelle	30-Jan	27	1000	27	0	0	1027	12.56637061
S.pim LA1578	4	abaxial	2	Michelle	30-Jan	16	99	15	1	0	115	12.56637061
S.pim LA1578	3	adaxial	1	Michelle	01-Feb	96	770	96	0	0	866	12.56637061
S.pim LA1578	3	adaxial	2	Michelle	01-Feb	78	384	63	15	0	462	12.56637061
S.pim LA1578	3	abaxial	1	Michelle	01-Feb	33	600	33	0	0	633	12.56637061
S.pim LA1578	3	abaxial	2	Michelle	01-Feb	27	650	27	0	0	677	12.56637061
S.pim LA1578	5	adaxial	1	Sanne	01-Feb	17	190	17	0	0	207	12.56637061
S.pim LA1578	5	adaxial	2	Sanne	01-Feb	18	129	18	0	0	147	12.56637061
S.pim LA1578	5	abaxial	1	Sanne	01-Feb	10	582	10	0	0	592	12.56637061
S.pim LA1578	5	abaxial	2	Sanne	01-Feb	6	603	6	0	0	609	12.56637061
S.pim LA1578	2	adaxial	1	Sanne	07-Feb	119	240	119	0	0	359	12.56637061
S.pim LA1578	2	adaxial	2	Sanne	07-Feb	81	224	81	0	0	305	12.56637061
S.pim LA1578	2	abaxial	1	Sanne	07-Feb	36	489	36	0	0	525	12.56637061
S.pim LA1578	2	abaxial	2	Sanne	07-Feb	31	452	31	0	0	483	12.56637061
S.hab LA1718	2	adaxial	1	Ruy	30-Jan	66	6	54	12	0	72	12.56637061
S.hab LA1718	2	adaxial	2	Ruy	30-Jan	56	2	47	9	0	58	12.56637061
S.hab LA1718	2	abaxial	1	Ruy	30-Jan	26	1	0	26	0	27	12.56637061
S.hab LA1718	2	abaxial	2	Ruy	30-Jan	23	3	0	23	0	26	12.56637061
S.hab LA1718	5	adaxial	1	Marc	30-Jan	56	31	54	50	0	87	12.56637061
S.hab LA1718	5	adaxial	2	Marc	30-Jan	64	48	22	30	0	112	12.56637061
S.hab LA1718	5	abaxial	1	Marc	30-Jan	71	34	6	65	0	105	12.56637061
S.hab LA1718	5	abaxial	2	Marc	30-Jan	49	50	23	26	0	99	12.56637061
S.hab LA1718	3	adaxial	1	Michelle	31-Jan	158	21	137	21	0	179	12.56637061
S.hab LA1718	3	adaxial	2	Michelle	31-Jan	125	15	88	37	0	140	12.56637061
S.hab LA1718	3	abaxial	1	Michelle	31-Jan	80	85	68	15	0	165	12.56637061
S.hab LA1718	3	abaxial	2	Michelle	31-Jan	89	34	49	40	0	123	12.56637061
S.hab LA1718	4	adaxial	1	Sanne	31-Jan	57	37	43	14	0	94	12.56637061
S.hab LA1718	4	adaxial	2	Sanne	31-Jan	30	28	16	14	0	58	12.56637061
S.hab LA1718	4	abaxial	1	Sanne	31-Jan	68	59	23	45	0	127	12.56637061
S.hab LA1718	4	abaxial	2	Sanne	31-Jan	52	62	9	43	0	114	12.56637061
S.hab LA1718	1	adaxial	1	Ruy	02-Feb	19	25	14	1	4	44	12.56637061
S.hab LA1718	1	adaxial	2	Ruy	02-Feb	11	32	5	0	6	43	12.56637061
S.hab LA1718	1	abaxial	1	Ruy	02-Feb	64	82	26	38	0	146	12.56637061
S.hab LA1718	1	abaxial	2	Ruy	02-Feb	56	38	10	46	0	94	12.56637061
S.hab LA1777	1	adaxial	1	Michelle	24-Mar	66	3	7	38	0	69	12.56637061
S.hab LA1777	1	adaxial	2	Lisa	24-Mar	52	6	7	40	0	58	12.56637061
S.hab LA1777	1	abaxial	1	Michelle	24-Mar	181	4	13	168	0	185	12.56637061
S.hab LA1777	1	abaxial	2	Lisa	24-Mar	131	10	9	162	0	141	12.56637061
S.hab LA1777	2	adaxial	1	Sanne	27-Mar	81	21	43	38	0	102	12.56637061
S.hab LA1777	2	adaxial	2	Sanne	27-Mar	124	19	41	83	0	143	12.56637061
S.hab LA1777	2	abaxial	1	Sanne	27-Mar	78	31	16	62	0	109	12.56637061
S.hab LA1777	2	abaxial	2	Sanne	27-Mar	60	24	11	49	0	84	12.56637061
S.hab LA1777	3	adaxial	1	Sanne	27-Mar	143	10	59	84	0	153	12.56637061
S.hab LA1777	3	adaxial	2	Sanne	27-Mar	135	6	42	93	0	141	12.56637061
S.hab LA1777	3	abaxial	1	Sanne	27-Mar	155	3	35	120	0	158	12.56637061
S.hab LA1777	3	abaxial	2	Sanne	27-Mar	143	4	31	112	0	147	12.56637061
S.hab LA1777	4	adaxial	1	Sanne	27-Mar	129	5	39	90	0	134	12.56637061
S.hab LA1777	4	adaxial	2	Sanne	27-Mar	115	4	42	73	0	119	12.56637061
S.hab LA1777	4	abaxial	1	Sanne	27-Mar	156	10	54	102	0	166	12.56637061
S.hab LA1777	4	abaxial	2	Sanne	27-Mar	151	3	21	130	0	154	12.56637061
S.chm LA1840	1	adaxial	1	Sanne	30-Jan	15	48	15	0	0	63	12.56637061
S.chm LA1840	1	adaxial	2	Sanne	30-Jan	3	61	3	0	0	64	12.56637061
S.chm LA1840	1	abaxial	1	Sanne	30-Jan	2	58	2	0	0	60	12.56637061
S.chm LA1840	1	abaxial	2	Sanne	30-Jan	0	46	0	0	0	46	12.56637061
S.chm LA1840	4	adaxial	1	Aleksandra	30-Jan	17	49	17	0	0	66	12.56637061
S.chm LA1840	4	adaxial	2	Aleksandra	30-Jan	9	36	7	2	0	45	12.56637061
S.chm LA1840	4	abaxial	1	Aleksandra	30-Jan	0	91	0	0	0	91	12.56637061
S.chm LA1840	4	abaxial	2	Aleksandra	30-Jan	4	90	4	0	0	94	12.56637061
S.chm LA1840	2	adaxial	1	Sanne	01-Feb	13	166	13	0	0	179	12.56637061
S.chm LA1840	2	adaxial	2	Sanne	01-Feb	11	88	11	0	0	99	12.56637061
S.chm LA1840	2	abaxial	1	Sanne	01-Feb	17	98	17	0	0	115	12.56637061
S.chm LA1840	2	abaxial	2	Sanne	01-Feb	18	91	18	0	0	109	12.56637061
S.chm LA1840	3	adaxial	1	Marc	01-Feb	24	127	6	6	0	151	12.56637061
S.chm LA1840	3	adaxial	2	Marc	01-Feb	24	77	12	0	0	101	12.56637061
S.chm LA1840	3	abaxial	1	Marc	01-Feb	17	121	12	0	0	138	12.56637061
S.chm LA1840	3	abaxial	2	Marc	01-Feb	27	112	16	1	0	139	12.56637061
S.chm LA1840	5	adaxial	1	Ruy	01-Feb	17	117	14	0	3	134	12.56637061
S.chm LA1840	5	adaxial	2	Ruy	01-Feb	7	84	5	0	2	91	12.56637061
S.chm LA1840	5	abaxial	1	Ruy	01-Feb	3	158	2	0	1	161	12.56637061
S.chm LA1840	5	abaxial	2	Ruy	01-Feb	6	172	6	0	0	178	12.56637061
S.per LA1954	1	adaxial	1	Michelle	30-Jan	19	156	19	0	0	175	12.56637061
S.per LA1954	1	adaxial	2	Michelle	30-Jan	11	137	1	10	0	148	12.56637061
S.per LA1954	1	abaxial	1	Michelle	30-Jan	0	500	0	0	0	500	12.56637061
S.per LA1954	1	abaxial	2	Michelle	30-Jan	0	500	0	0	0	500	12.56637061
S.per LA1954	3	adaxial	1	Marc	30-Jan	9	54	9	0	0	63	12.56637061
S.per LA1954	3	adaxial	2	Marc	30-Jan	5	45	5	0	0	50	12.56637061
S.per LA1954	3	abaxial	1	Marc	30-Jan	0	130	0	0	0	130	12.56637061
S.per LA1954	3	abaxial	2	Marc	30-Jan	0	66	0	0	0	66	12.56637061
S.per LA1954	2	adaxial	1	Ruy	31-Jan	3	84	3	0	0	87	12.56637061
S.per LA1954	2	adaxial	2	Ruy	31-Jan	5	128	5	0	0	133	12.56637061
S.per LA1954	2	abaxial	1	Ruy	31-Jan	1	350	1	0	0	351	12.56637061
S.per LA1954	2	abaxial	2	Ruy	31-Jan	3	266	3	0	0	269	12.56637061
S.per LA1954	4	adaxial	1	Sanne	01-Feb	2	84	2	0	0	86	12.56637061
S.per LA1954	4	adaxial	2	Sanne	01-Feb	6	71	6	0	0	77	12.56637061
S.per LA1954	4	abaxial	1	Sanne	01-Feb	2	179	2	0	0	181	12.56637061
S.per LA1954	4	abaxial	2	Sanne	01-Feb	1	221	1	0	0	222	12.56637061
S.neo LA2133	1	adaxial	1	Sanne	30-Jan	3	49	3	0	0	52	12.56637061
S.neo LA2133	1	adaxial	2	Sanne	30-Jan	2	38	2	0	0	40	12.56637061
S.neo LA2133	1	abaxial	1	Sanne	30-Jan	1	117	1	0	0	118	12.56637061
S.neo LA2133	1	abaxial	2	Sanne	30-Jan	0	130	0	0	0	130	12.56637061
S.neo LA2133	2	adaxial	1	Sanne	30-Jan	0	24	0	0	0	24	12.56637061
S.neo LA2133	2	adaxial	2	Sanne	30-Jan	7	21	7	0	0	28	12.56637061
S.neo LA2133	2	abaxial	1	Sanne	30-Jan	1	92	1	0	0	93	12.56637061
S.neo LA2133	2	abaxial	2	Sanne	30-Jan	2	99	2	0	0	101	12.56637061
S.neo LA2133	3	adaxial	1	Aleksandra	02-Feb	14	17	2	0	12	31	12.56637061
S.neo LA2133	3	adaxial	2	Aleksandra	02-Feb	17	17	0	0	17	34	12.56637061
S.neo LA2133	3	abaxial	1	Aleksandra	02-Feb	2	227	2	0	0	229	12.56637061
S.neo LA2133	3	abaxial	2	Aleksandra	02-Feb	0	203	0	0	0	203	12.56637061
S.arc LA2172	1	adaxial	1	Aleksandra	30-Jan	18	49	18	0	0	67	12.56637061
S.arc LA2172	1	adaxial	2	Aleksandra	30-Jan	11	27	11	0	0	38	12.56637061
S.arc LA2172	1	abaxial	1	Aleksandra	30-Jan	2	185	0	0	0	187	12.56637061
S.arc LA2172	1	abaxial	2	Aleksandra	30-Jan	10	177	10	0	0	187	12.56637061
S.arc LA2172	9	adaxial	1	Sanne	01-Feb	21	89	6	0	15	110	12.56637061
S.arc LA2172	9	adaxial	2	Sanne	01-Feb	30	50	4	0	26	80	12.56637061
S.arc LA2172	9	abaxial	1	Sanne	01-Feb	9	295	0	0	9	304	12.56637061
S.arc LA2172	9	abaxial	2	Sanne	01-Feb	10	249	0	0	10	259	12.56637061
S.arc LA2172	2	adaxial	1	Sanne	02-Feb	14	45	14	0	0	59	12.56637061
S.arc LA2172	2	adaxial	2	Sanne	02-Feb	13	30	13	0	0	43	12.56637061
S.arc LA2172	2	abaxial	1	Sanne	02-Feb	15	160	15	0	0	175	12.56637061
