sample,accession,5.541_67.0557 ,7.060_95.0168 ,9.272_93.0728 ,9.472_91.0566 ,9.653_91.0565  -> RT = 9.678,10.148_93.0730 ,10.581_105.0363 ,10.873_119.0877 ,11.056_91.0567 ,11.572_91.0564 ,11.844_91.0573 ,11.96_91.0560 ,12.373_91.0575 ,12.618_119.0885 ,12.761_91.0557 ,13.396_91.0579 ,13.604_105.0725_blank ,14.572_91.0565 ,14.537_91.0571 ,14.844_105.0368 ,15.428_68.0279 ,15.562_91.0570 ,18.152_67.0559 ,18.702_97.0318 ,20.136_79.0560 ,20.614_58.0433 ,21.112_119.0858 ,21.260_109.1042 ,21.506_109.1042 ,21.673_129.0932 ,21.813_91.0566 ,22.444_161.1317 ,22.570_91.0567 ,22.891_161.1339 ,23.181_147.1173 ,23.223_93.0721 ,23.403_91.0566 ,23.681_91.0574 ,23.736_145.1019 ,23.997_91.0562 ,24.220_91.0566 ,24.291_119.0873 ,24.374_105.0720 ,24.442_95.0877 ,24.471_105.0723 ,24.500_81.0718 ,24.550_94.0801 ,24.602_117.0716 ,24.619_105.0723 ,24.707_93.0725 ,24.733_105.0717 ,24.806_119.8074 ,24.814_105.0723 ,24.843_161.1344 ,24.859_91.0567 ,25.020_145.1032 ,25.036_159.1160 ,25.153_119.0864 ,25.211_105.0732 ,25.356_105.0726 ,25.421_161.1340 ,25.421_58.0434 ,25.421_119.0869 ,25.508_105.0726 ,25.516_145.0981 ,25.533_105.0721 ,25.585_105.0719 ,25.641_119.0875 ,25.706_91.0568 ,25.779_97.0322 ,25.842_161.1316 ,25.911_105.0725 ,25.968_119.0881 ,26.045_91.0563 ,26.164_119.0865 ,26.200_105.0726 ,26.227_95.0152 ,26.529_131.0872 ,26.595_91.0568 ,26.689_109.1032 ,26.803_111.0836 ,26.833_81.0727 ,27.083_97.0317 ,27.996_91.0565 ,28.382_97.0323 ,30.160_91.0569 ,32.503_159.8606 
Lyc38_2_rep_1x,PI134418,0,0,0,0,152648.6329,0,0,0,0,0,118733.639,0,0,431147.9433,0,112887.9455,168228.8396,0,0,0,0,0,0,0,0,731609.1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277340.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65362.08305,0,0,0,0,0
Lyc38_1_rep_1x,PI134418,0,0,0,0,121642.9204,0,0,0,0,0,134994.4322,0,0,320087.6567,100386.032,0,345659.9949,0,0,0,0,0,0,0,0,497869.1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753008.3089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63374.92506,0,0,0,0,0
LA4024_3,LA4024,0,0,0,0,108674.1844,0,54039.09095,348340.5557,0,114560.8556,1068100.719,2135866.76,1260627.875,119429.7378,9252508.325,73354.15756,156028.8778,47015.43036,34678.17799,48234.94323,0,0,0,0,0,0,0,0,0,0,0,156501.0952,0,0,34783.62459,0,30877.5157,35017.44097,0,1018132.784,63162.5143,0,0,0,54259.15342,0,0,0,136232.4245,474473.0296,0,0,0,0,0,0,0,0,0,162341.92,95112.83455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53786.93603,0,0,0,0,0,0
LA2172_6_lv,LA2172,0,0,0,0,198854.0067,0,0,0,344360.1145,0,0,0,0,0,79944.89842,0,92880.35313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149215.4817,46596.04919,0,129757.0536,0,29694.72139,41434.49496,0,2880541.874,60131.31754,0,,0,187449.6552,0,0,0,147487.0713,436163.1708,0,0,32547.78233,0,0,0,44244.14833,0,164917.1822,114276.3371,1095480.693,0,0,67976.24859,0,30570.765,62345.10342,0,182102.6323,0,72593.23517,0,87122.9314,0,0,112062.5512,0,0,24596.30544,0,50601.3837,0,0,0,0,0,0
LA1578_2_lv,LA1578,64048.34826,0,0,0,33377.007,0,0,91907.08047,0,0,33211.24487,320883.4012,169628.1309,172210.8118,2461032.918,47563.03705,226259.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143298.688,0,0,43183.70851,0,0,0,0,1320129.605,72748.18651,0,0,0,63577.7977,0,0,0,187648.0786,588610.6302,0,0,0,0,0,0,0,0,0,164195.4108,177841.3771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47477.4824,0,0,0,0,0,0
LA1278_1,LA1278,0,0,0,0,114128.8156,0,27289.72072,0,95651.24456,0,0,0,0,164681.414,105156.9893,58057.39634,243716.3173,0,0,321284.1924,0,0,0,0,0,0,0,0,0,0,0,120765.3723,37648.73703,0,0,0,0,0,0,1145230.171,50038.63949,0,0,0,125745.2847,0,0,0,117102.7913,550355.1759,0,0,0,0,0,0,0,0,0,126403.9505,76739.55293,0,0,80771.38587,0,59299.87951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36615.82934,0,0,0,0,0,0
LA2172_2_lv,LA2172,0,0,0,0,83393.45454,0,0,0,200253.8036,0,0,0,0,0,39663.25424,40875.38201,170353.0919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96310.33734,31702.52321,0,81512.08248,0,0,0,0,241578.4685,35015.98445,0,,0,237455.3621,0,0,0,273575.8336,359473.1042,0,0,0,0,0,0,0,0,54288.34798,277844.021,351568.5335,0,0,25052.20058,0,0,0,0,61139.9119,0,30036.43253,0,37866.12272,0,27570.05672,62951.08351,0,0,0,0,32994.21149,0,0,0,0,0,0
LA4024_1,LA4024,0,0,0,0,82267.75088,0,13040.92876,200692.7415,0,139328.3559,5864507.908,3017032.451,5309875.937,171358.7509,7333624.729,104531.7787,154624.5953,81004.27852,57429.42927,19597.52796,0,42878.3146,0,0,0,0,0,0,0,0,0,83588.54053,0,0,23435.29411,0,18909.72052,16073.76085,0,751481.9625,32464.01281,0,0,0,42260.28473,0,0,0,94284.44465,116598.3136,0,0,0,0,0,0,0,0,0,130042.9554,72204.82897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26792.09347,0,0,0,0,0,0
LA1364-3-lv,LA1364,0,0,145001.2976,119149.0604,0,66479.97462,0,0,0,1919358.338,216033.8469,16166049.49,6526114.249,134902.2073,6861619.78,6834695.39,167751.1359,55650.90816,72199.20773,0,0,0,313094.6099,0,0,0,0,0,0,0,0,75946.85335,18066.91075,0,34735.78674,0,0,0,0,60174.15349,34273.03397,0,0,0,28302.87155,0,0,0,110812.993,215411.4119,0,101642.6671,0,0,0,0,0,0,0,94903.42259,113162.6039,0,0,29189.27121,0,17470.54627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22244.72092,0,0,0,0,0,0
PI127826_3_rep_5x,PI127826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2204899.977,0,0,0,14868429.87,0,0,0,0,3423301.978,0,0,1718747.011,16382449.11,0,0,14686047.02,15485632.76,0,0,0,5746267.676,0,0,23746911.66,19488996.76,0,0,0,11134110.77,0,19460310.72,0,7599688.117,0,0,10342073.98,0,42783272.83,19552106.06,0,13853245.85,0,0,0,0,0,9028253.14,0,7715036.213,0,2675351.109,0,1762530.974,0,0,0,0,0,0,0
