feature	p-value mwu_dataset	p-value p_pnorm	mda_mean
25.421_58.0434	0.00281	2.34E-08	0.01194683
20.614_58.0433	0.01137	3.82E-08	0.012006976
12.761_91.0557	0.002577	1.51E-07	0.027977158
11.96_91.0560	0.009398	5.77E-05	0.020550561
11.844_91.0573	0.01723	0.00756	0.01562658
