feature	pnorm_p_value	mwu_p_value	p_value_naive	mean_mda
G3:C15	1.42E-15	0.960089727	0	0.034490177
S3:C22	1.61E-06	0.286422023	0.006666667	0.026203399
S4:C22_2	0.00784	0.286422023	0.036666667	0.009129272
G3:C22	0.000527	0.602410637	0.006666667	0.006352592
S4:C17	0.0499	0.455545094	0.063333333	0.002144457
