accession	species	G2:C4 	G2:C5 	G3:C6 	G3:C7 	G3:C10 	G3:C10-2 	G3:C11 	G3:C11-2 	G3:C13 	G3:C14 	G3:C15 	G3:C15-2 	G3:C16 	G3:C16-2 	G3:C18 	G3:C19 	G3:C19-2 	G3:C20 	G3:C20-2 	G3:C21-2 	G3:C21 	G3:C22 	G3:C22-3 	G3:C22-2 	G4:21 	G4:C21 	G4:C21-2 	G4:22 	G4:C22 	G4:C23 	G4:C23-2 	G4:C24 	G4:C24-2 	G4:C32 	G5:C25 	S1:C27 	S2:C22 	S3:C12 	S3:C15 	S3:C17-2 	S3:C18 	S3:C18-2 	S3:C19 	S3:C19-2 	S3:C20 	S3:C20-2 	S3:C20-3 	S3:C21 	S3:C21-3 	S3:C21-2 	S3:C22 	S3:C22-2 	S3:C22-3 	S3:C23 	S3:C24 	S4:C16 	S4:C17 	S4:C17-2 	S4:C19 	S4:C19-2 	S4:C20 	S4:C20-2 	S4:C20-3 	S4:C21 	S4:C21-2 	S4:C21-3 	S4:C21-4 	S4:C22 	S4:C22-2 	S4:C22-3 	S4:C23-2 	S4:C24 	S5:C23 	S5:C23-2 	S5:C24 	S5:C25 	summed_glucose	summed_sucrose	summed_total
MM-lyc	lycopersium											0.569444444							0.539325843	0.994382022	0.53411306	0.752277854	0.247191011	3.544042721	4.410888473	5.110380117	16.28508772	5.110380117	15.47742132	3.587201853		7.117665418	1.031432749	13.0920642	3.257131804	44.35599415	1.264400859	1.451547408											0.41011236				0.548459163	7.400894277					0.807651072	0.559210526	0.894005848	0.449509804	22.6510383		26.15789474	141.4399295	38.46052632	25.35526316	75.29824561	6.828947368		16.62952559	16.26642683	57.53362573	16.93709344	0.387640449	51.88154555	126.0164249	509.6134939	635.6299188
LA4024-lyc	lycopersium																							0.660239765	0.600423225										2.429888198			0.446886447											0.381868132				0.357048748	9.850871441					1.004578755																			3.690551188	12.04125352	15.73180471
LA1578-pimp	pimpinellifolium											3.953505201												2.302958691	2.822378106	42.74419844	68.02772661	40.7543412	59.50049558	14.65390844		37.06526236	15.40388177	69.70319281	2.923665	321.9142054		0.897125963							5.521144279				0.598611111	1.985074627	1.985074627			11.19062917					16.87962882	7.940909091	0.331060606	19.05472637	49.41540923		104.0627591	418.8185444	139.341589	83.78458948	371.950004	25.91923701		66.73035957	104.3081311	315.9905318	78.36879057		296.2152415	681.7697196	2121.289171	2803.058891
LA1278-per	peruvianum			2.584848485		3.474242424	2.563636364	5.646212121	1.342424242													0.243010753	0.693518519	4.034545697	2.697272022	6.042419842	21.73964015	6.042419842	15.74375406	3.800610247		22.18358342	12.75767394	27.58349121	2.691333317	112.8176459	0.380555556	0.639418377						6.008333333				1.056818182						7.456734758			9.407575758		2.259848485			0.197695035	165.7757025		23.51520327	200.3127019	45.18847514	20.66049748	95.96543353	18.14727408	3.635606061	2.839393939	40.71499844	71.46830333	20.80670369	0.640151515	122.2447783	254.6822826	859.3222027	1114.004485
LA1954-per	peruvianum											1.778205128												2.252097944	2.338399573	22.24957695	64.77659441	22.24957695	53.16978785	10.93711423		37.37014371	28.8567277	59.4060522	1.48932011	241.4618455		3.161043898		2.35440613						8.298587428	1.262820513	0.75	1.377394636	1.356321839	1.356321839	9.775388405	2.254578755	75.50869227			4.408372279		0.57967033	3.61875921	0.822796935	1.84415393	87.6106321	6.282303903	72.87097342	471.271785	139.581983	65.58519948	213.9774674	16.6037851		6.767399267	53.9788415	209.6220486	45.70714286		225.7569062	548.3354423	1734.345776	2282.681218
LA1401-chee	cheesemani/gala											1.223636212												1.110110767	1.110780111	16.90182984	46.7101151	16.90182984	32.17811685	14.23479027		10.33480456	12.19200219	33.17859811	1.509737302	124.7818281		1.356713116																5.197105202					4.420348059	1.445782103	1.088353414		43.73415384		53.79174702	323.7987485	97.59144418	52.1019019	209.7792943	11.93410078		3.924679487	48.250251	177.15633	47.35220742		120.6438095	312.3681793	1203.56697	1515.935149
LA1364-huay	huaylasense					2.233686565	0.283743475					1.611856823												1.548194853	1.166129975	14.8890465	33.47379392	14.4913756	20.58367808	6.505193675		14.84761046	10.04438005	20.81543701	3.325149315	93.36702229	0.80878912	0.839090241									4.262019703			0.413157895	0.413157895		0.476315789	7.002616962			2.033929903		1.263222654	0.524235645	0.082401193		102.2521598		44.9183632	280.6351556	81.9949255	38.92320938	156.0011522	13.56127611	0.951754386	0.228933632	39.34743358	113.4153155	41.288803		72.49348501	239.1862986	1004.130904	1243.317202
CGN24193-neo	neorickii																							1.190244081	2.724700734	3.195488722	9.119047619	3.195488722	14.4047619	1.026315789	0.922619048	12.7070802	40.43734336	22.9664787	1.677448986	81.69273183	3.195861464	0.976133185				0.912280702										0.56091954	1.6	19.4625592									10.81704261		38.06516291	191.6671356	79.2443609	38.06516291	250.8641004	27.12406015			166.8709831	28.69548872		0.963659148	106.3659148	195.2597497	965.4508253	1160.710575
LA2133-neo	neorickii											2.045738148					0.758003766				1.987758945			1.882194617	1.218382052	10.86177405	26.73896287	9.964672597	20.98915909	5.095500696		12.12052701	9.04469798	17.03928571	3.705675321	92.08853651	0.516666667	0.139765611				0.552730697				0.821428571	0.509416196		0.798240166	3.233676352	3.233676352	7.214285714	5.580784235	47.63535139			1.661078359		1.033088235	2.037099812			41.99375023	0.821428571	26.64715087	182.7695783	57.97922588	25.51723369	133.778062	2.069565217			31.9258729	87.23768262	13.8557971		75.9721073	215.5408694	755.534743	971.0756124
LA2663-chmi	chmielewskii											0.418972332												1.339017263	0.610708535	13.58629776	41.87549407	13.58629776	16.11001318	4.360342556		7.46969697	10.17786561	23.40909091	3.445624965	101.1949934		1.311739548		0.916337286						6.675889328		0.316205534	1.550065876	5.451910408	5.451910408	14.09815547	10.21870634	133.64567		0.880105402				1.56455863			41.62657171	6.675889328	57.01581028	393.798419	105.3695652	57.01581028	240.4762846			1.048748353	39.91765481	165.6587615	66.06258235	0.29314888	92.59025033	237.5844153	1449.630751	1687.215166
